Internal ID,CompanyName,SubsidiaryID,ParentID,ProfileID,AccountManagerID,CustomerSuccessManagerID,Inactive,Status,CustomerSince,DateCreated,FirstTransactionDate,LastCustomerActivityDate,LastSalesActivity,Address,Email,Division,Balance,DaysOverdue,OverdueBalance,City,Country,CountryCode,StateName,StateCode,ZipCode,PlatinumSupport,SubscriptionPricing,Taxable,AtRisk,BusinessSystem,Translator,NetworkStatus,Network,NetworkBillingPlan,NumberOfTradingPartners,EntityType,TaxItem,ResellerID,RevenueCohortSegment
20623533,(TTC) Total Transportation Concept,1,,,,,No,LEAD-Nurturing,,1/29/2024 2:59 am,,,,,james.d@totaltrans.com,TC,.00,0,.00,,,,,,,No,No,Yes,No,TBD,,Not Deployed,Tc.net,,,End User,AVATAX,,
20787929,1Digital Trust,34,,,,,No,CUSTOMER-Closed Won,,3/21/2024 10:01 am,,3/21/2024,3/21/2024,,,TC,.00,0,.00,,,,,,,No,No,Yes,No,,OneTime 5.0,Not Deployed,,,,Reseller,,,
20740645,2G energy AG,59,,,,,No,LEAD-Unqualified,,3/7/2024 12:31 am,,,,2G energy AG Germany,,TC,.00,0,.00,,Germany,DE,,,,No,No,Yes,No,,,Not Deployed,,,,End User,,,
21165538,2iSolutions Inc.,1,,,,,No,CUSTOMER-Closed Won,,6/17/2024 3:41 pm,,6/17/2024,,,,TC,.00,0,.00,,,,,,,No,No,Yes,No,SAP S4/HANA,,Not Deployed,,,,Reseller,AVATAX,,
20929951,3 R Health Products,1,,81769,20285237,,No,CUSTOMER-Closed Won,5/21/2024,4/24/2024 1:51 pm,,6/13/2024,6/13/2024,3 R Health Products 2751 West 51st Street Chicago IL 60632,randolph@3rhealthcareproducts.com,TC,1166.67,25,1166.67,Chicago,United States,US,Illinois,IL,60632,No,Yes,Yes,No,QuickBooks Premier,TM SaaS,Activated,Tc.net,"Standard - 1,000 Annual Entitlement",,End User,AVATAX,,Tier 4: Starter 2.5-5K (new)
20693399,3 Tone Enterprise,1,,,18645951,,No,LEAD-Nurturing,,2/20/2024 11:39 am,,3/4/2024,3/4/2024,,Claudiagalicia@3toneent.com,TC,.00,0,.00,,,,,,,No,No,Yes,No,TBD,,Not Deployed,Tc.net,,,End User,AVATAX,,
20741379,3A Composites Display Europe,59,,,,,No,LEAD-Unqualified,,3/7/2024 12:40 am,,,,3A Composites Display Europe Germany,,TC,.00,0,.00,,Germany,DE,,,,No,No,Yes,No,,,Not Deployed,,,,End User,,,
21006935,3D Warehousing & Logistics,1,,,17025013,,No,PROSPECT-Closed Lost,,5/9/2024 10:33 am,,6/20/2024,6/20/2024,,ben.mckean@3dwh.com,TC,.00,0,.00,,,,,,,No,Yes,Yes,No,All Other Packages,TM SaaS,Not Deployed,Tc.net,,,End User,AVATAX,,
20701495,3EN  - duplicate,34,,,,,No,CUSTOMER-Closed Won,,2/22/2024 2:21 pm,,,,,,TC,.00,0,.00,,,,,,,No,No,Yes,No,NetSuite,OneTime 5.0,Not Deployed,,,,Reseller,,,
20886717,3PL Consulting,1,,,,,No,LEAD-Nurturing,,4/18/2024 9:51 am,,,,,chuck@3plconsultant.com,TC,.00,0,.00,,,,,,,No,No,Yes,No,Microsoft Dynamics NAV,,Not Deployed,Tc.net,,,End User,AVATAX,,
