Internal ID,Name,Supported Product,Date Created,Members,Inactive,Last Modified
1,BDS - Dev,,8/20/2011 12:33 pm,,Yes,2/18/2020 9:45 am
2,DSD Tier 1,,8/20/2011 12:33 pm,,Yes,2/18/2020 9:45 am
3,SCE Platform,,8/20/2011 12:33 pm,,Yes,2/18/2020 9:45 am
4,Documenter - Tier 2,,8/20/2011 12:33 pm,,No,2/18/2020 9:45 am
5,SCE General,,8/20/2011 12:33 pm,,Yes,2/18/2020 9:45 am
6,SCE Transportation,,8/20/2011 12:33 pm,,Yes,2/18/2020 9:45 am
7,SCE Application,,8/20/2011 12:33 pm,,Yes,2/18/2020 9:45 am
8,SCE Cloud,,8/20/2011 12:33 pm,,Yes,2/18/2020 9:45 am
9,RouteFlex,,8/20/2011 12:33 pm,,Yes,2/18/2020 9:45 am
10,Tier2 - Hunt Valley,,8/20/2011 12:33 pm,,Yes,2/18/2020 9:45 am
11,Tier2 - Dallas,,8/20/2011 12:33 pm,,Yes,2/18/2020 9:45 am
12,Charlotte Simas,,8/20/2011 12:33 pm,,Yes,2/18/2020 9:45 am
13,Durham,,8/20/2011 12:33 pm,,Yes,2/18/2020 9:45 am
14,Waterloo SDMS,,8/20/2011 12:33 pm,,Yes,2/18/2020 9:45 am
15,Tier 1 Support,,8/20/2011 12:33 pm,,Yes,2/18/2020 9:45 am
16,Route Admin - Tier 2,,10/28/2011 1:56 am,,Yes,2/18/2020 9:45 am
17,BDS - Tier 2,,10/28/2011 1:56 am,,Yes,2/18/2020 9:45 am
18,SDMS - Tier 2,,10/28/2011 1:56 am,,Yes,2/18/2020 9:45 am
20,Oasis - Tier 2,,10/28/2011 1:56 am,,Yes,2/18/2020 9:45 am
21,Oasis - Dev,,10/28/2011 1:56 am,,Yes,2/18/2020 9:45 am
22,RouteCenter - Tier 2,,10/28/2011 1:56 am,,Yes,2/18/2020 9:45 am
23,Routeflex - Tier 2,,10/28/2011 1:56 am,,Yes,2/18/2020 9:45 am
24,Routeflex - Dev,,10/28/2011 1:56 am,,Yes,2/18/2020 9:45 am
25,Simas - Tier 2,,10/28/2011 1:56 am,,Yes,2/18/2020 9:45 am
26,Simas - Dev,,10/28/2011 1:56 am,,Yes,2/18/2020 9:45 am
27,BMIS - Tier 2,,10/28/2011 1:56 am,,Yes,2/18/2020 9:45 am
28,BMIS - Dev,,10/28/2011 1:56 am,,Yes,2/18/2020 9:45 am
29,Award - Tier 2,,10/28/2011 1:56 am,,Yes,2/18/2020 9:45 am
30,Award - Dev,,10/28/2011 1:56 am,,Yes,2/18/2020 9:45 am
31,Infinium - Tier 2,,10/28/2011 1:56 am,,Yes,2/18/2020 9:45 am
32,Infinium - Dev,,10/28/2011 1:56 am,,Yes,2/18/2020 9:45 am
33,RXP - Tier 2,,10/28/2011 1:56 am,,Yes,2/18/2020 9:45 am
34,RXP - Dev,,10/28/2011 1:56 am,,Yes,2/18/2020 9:45 am
35,RNP - Tier 2,,10/28/2011 1:56 am,,Yes,2/18/2020 9:45 am
36,RNP - Dev,,10/28/2011 1:56 am,,Yes,2/18/2020 9:45 am
37,VMMS - Tier 2,,10/28/2011 1:56 am,,No,2/18/2020 9:45 am
38,VMMS - Dev,,10/28/2011 1:56 am,,No,2/18/2020 9:45 am
39,DDE/LM - Tier 2,,10/28/2011 1:56 am,,Yes,2/18/2020 9:45 am
40,DDE/LM - Dev,,10/28/2011 1:56 am,,Yes,2/18/2020 9:45 am
41,PowerTools - Tier 2,,10/28/2011 1:56 am,,Yes,2/18/2020 9:45 am
42,PowerTools - Dev,,10/28/2011 1:56 am,,Yes,2/18/2020 9:45 am
44,SDMS - Dev,,10/28/2011 1:56 am,,Yes,2/18/2020 9:45 am
45,MSA - Tier 2,,10/28/2011 1:56 am,,Yes,2/18/2020 9:45 am
46,MSA - Dev,,10/28/2011 1:56 am,,Yes,2/18/2020 9:45 am
47,VC - Tier 2,,10/28/2011 1:56 am,,No,2/18/2020 9:45 am
48,VC - Dev,,10/28/2011 1:56 am,,No,2/18/2020 9:45 am
49,DME - Tier 2,,10/28/2011 1:56 am,,No,2/18/2020 9:45 am
50,DME - Dev,,10/28/2011 1:56 am,,No,2/18/2020 9:45 am
51,DEX - Tier 2,,10/28/2011 1:56 am,,Yes,2/18/2020 9:45 am
52,DEX - Dev,,10/28/2011 1:56 am,,Yes,2/18/2020 9:45 am
54,Documenter - Dev,,10/28/2011 1:56 am,,No,2/18/2020 9:45 am
55,TA Legacy,,10/28/2011 1:56 am,,Yes,2/18/2020 9:45 am
56,RouteManager - Tier 2,,10/28/2011 1:56 am,,Yes,2/18/2020 9:45 am
57,RouteManager - Dev,,10/28/2011 1:56 am,,Yes,2/18/2020 9:45 am
58,MB - Tier 2,,10/28/2011 1:56 am,,Yes,2/18/2020 9:45 am
59,HJ Internal,,10/29/2011 12:49 am,,Yes,2/18/2020 9:45 am
60,SCE CSR,,10/30/2011 3:44 am,,Yes,2/18/2020 9:45 am
61,Route Admin - PD,,11/2/2011 7:07 am,,Yes,2/18/2020 9:45 am
62,RouteCenter - PD,,11/2/2011 7:07 am,,Yes,2/18/2020 9:45 am
63,Edge - PD,,11/2/2011 7:07 am,,No,2/18/2020 9:45 am
